2028.png	woman gesturing NO	🙅‍♀️️	\U0001F645\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F645 U+200D U+2640 U+FE0F	woman gesturing NO
2029.png	person gesturing OK	🙆️	\U0001F646\U0000FE0F	U+1F646	person gesturing OK
2030.png	man gesturing OK	🙆‍♂️️	\U0001F646\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F646 U+200D U+2642 U+FE0F	man gesturing OK
2031.png	woman gesturing OK	🙆‍♀️️	\U0001F646\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F646 U+200D U+2640 U+FE0F	woman gesturing OK
2032.png	person tipping hand	💁️	\U0001F481\U0000FE0F	U+1F481	person tipping hand
2033.png	man tipping hand	💁‍♂️️	\U0001F481\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F481 U+200D U+2642 U+FE0F	man tipping hand
2034.png	woman tipping hand	💁‍♀️️	\U0001F481\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F481 U+200D U+2640 U+FE0F	woman tipping hand
2035.png	person raising hand	🙋️	\U0001F64B\U0000FE0F	U+1F64B	person raising hand
2036.png	man raising hand	🙋‍♂️️	\U0001F64B\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F64B U+200D U+2642 U+FE0F	man raising hand
2037.png	woman raising hand	🙋‍♀️️	\U0001F64B\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F64B U+200D U+2640 U+FE0F	woman raising hand
2038.png	deaf person	🧏️	\U0001F9CF\U0000FE0F	U+1F9CF	deaf person
2039.png	deaf man	🧏‍♂️️	\U0001F9CF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9CF U+200D U+2642 U+FE0F	deaf man
2040.png	deaf woman	🧏‍♀️️	\U0001F9CF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9CF U+200D U+2640 U+FE0F	deaf woman
2041.png	person bowing	🙇️	\U0001F647\U0000FE0F	U+1F647	person bowing
2042.png	man bowing	🙇‍♂️️	\U0001F647\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F647 U+200D U+2642 U+FE0F	man bowing
2043.png	woman bowing	🙇‍♀️️	\U0001F647\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F647 U+200D U+2640 U+FE0F	woman bowing
2044.png	person facepalming	🤦️	\U0001F926\U0000FE0F	U+1F926	person facepalming
2045.png	man facepalming	🤦‍♂️️	\U0001F926\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F926 U+200D U+2642 U+FE0F	man facepalming
